n	 Norm without pivoting 	 Norm with pivoting
2	0	0
3	7.9936057773011270911e-15	7.1054273576010018587e-15
4	2.0250467969162855297e-13	1.9895196601282805204e-13
5	1.3784529073745943606e-12	1.8332002582610584795e-12
6	3.8284042602754198015e-11	6.548361852765083313e-11
7	3.3187461667694151402e-09	1.5793375496286898851e-09
8	5.8795194490812718868e-08	7.0082023739814758301e-08
9	2.3751163098495453596e-06	9.0792673290707170963e-07
10	4.9908667278941720724e-05	6.9752379204146564007e-05
11	0.0050501083023846149445	0.0046558828908018767834
12	0.045259207719936966896	0.074720505625009536743
13	0.38773033360484987497	0.59150140220299363136
14	4.2127954219467937946	8.2307448685169219971
15	1.2691383528290316463	1.5174333082977682352
16	4.6845717523247003555	2.0029526986181735992
17	4.7279635886661708355	2.4879990252666175365
18	9.4407379406038671732	58.126362025737762451
19	4.4648769237101078033	22.493221287615597248
20	4.8086564652621746063	3.2297974559478461742
Preparing the matrix 
n	 Norm without pivoting 	 Norm with pivoting
2	1.1102230246251565404e-16	0
3	8.3266726846886740532e-17	1.9428902930940239457e-16
4	1.6653345369377348106e-16	4.9960036108132044319e-16
5	1.5629858518551031921e-15	4.8225312632155237225e-16
6	2.4424906541753443889e-15	3.0531133177191804862e-15
7	1.9637069748057456309e-15	2.6922908347160046105e-15
8	6.265821195228227225e-15	2.2308543901061739234e-15
9	1.7208456881689926377e-15	9.4368957093138305936e-16
10	1.0054457266761573919e-14	1.249000902703301108e-15
11	5.6132876125047914684e-13	2.9132252166164107621e-13
12	3.2596148002994596027e-13	1.5054624213917122688e-13
13	2.8328034362701259852e-13	4.2535419630951309955e-15
14	3.1784297416237450307e-13	3.6429192995512948983e-15
15	5.155945115298266046e-14	2.5639212974937208855e-15
16	3.1843971903811052471e-13	5.4782567371347568042e-15
17	4.390845326218695277e-14	5.8642327105395963827e-15
18	3.6461250685349000378e-12	1.4613310561628622963e-14
19	1.3969186918316722767e-11	1.5526468999382814218e-13
20	3.5367520544171693331e-13	5.5593550596366725358e-15
